url,title,type,current_cluster,target_cluster,current_status,recommended_action,priority,target_keyword,secondary_keywords,service_page_to_link,problems,opportunities,notes
https://sever.studio/,Homepage,local_page,Homepage,Локальное SEO,indexed_unknown,update,critical,создание сайта Красногорск,разработка сайта Москва;SEO продвижение Красногорск;Яндекс Директ Москва,/razrabotka-landing-page/;/prodvizhenie-seo/;/yandeks-direkt/;/kontakty/,NAP conflict;needs service links;schema phone mismatch,Strengthen local positioning and link to core services,Source WordPress page plus website_analysis
https://sever.studio/o-nas/,О нас,other,About,Локальное SEO,indexed_unknown,update,medium,веб студия Красногорск,веб студия Москва;digital агентство Москва,/kontakty/;homepage,Needs confirmed proof points and team facts,Can support trust and local authority,Do not invent team data
https://sever.studio/razrabotka-korporativnogo-sajta/,Разработка корпоративного сайта под ключ,service_page,Корпоративный сайт,Корпоративные сайты,thin,update,critical,корпоративный сайт под ключ,разработка корпоративного сайта;корпоративный сайт Москва,/razrabotka-mnogostranichnogo-sajta/;/prodvizhenie-seo/;/podderzhka-sajta/,Needs FAQ;process;proof;schema,Core commercial page with confirmed price and timeline,Use source public site for price
https://sever.studio/razrabotka-mnogostranichnogo-sajta/,Многостраничный сайт,service_page,Многостраничный сайт,Многостраничные сайты,thin,update,high,многостраничный сайт под ключ,разработка многостраничного сайта;структура многостраничного сайта,/razrabotka-landing-page/;/razrabotka-korporativnogo-sajta/;/prodvizhenie-seo/,Needs comparison and FAQ,Can support site development pillar,Use confirmed price and timeline
https://sever.studio/razrabotka-internet-magazina/,Разработка интернет магазина,service_page,Интернет-магазин,Интернет-магазины,thin,update,critical,разработка интернет магазина,интернет магазин под ключ;интернет магазин Москва,/prodvizhenie-seo/;/podderzhka-sajta/;/yandeks-direkt/,Needs platform and integration TODO;FAQ,High value commercial service page,Confirm CMS and payment details
https://sever.studio/razrabotka-landing-page/,Разработка Landing Page,service_page,Landing Page,Landing Page,thin,update,critical,landing page под ключ,лендинг под ключ;лендинг для Яндекс Директ,/yandeks-direkt/;/razrabotka-kviz-sajta/;TODO URL аудит сайта,Needs process;FAQ;ad connection,Core conversion page with confirmed price and timeline,Use source public site for price
https://sever.studio/razrabotka-sajta-vizitki/,Разработка сайта визитки,service_page,Сайт-визитка,Сайты-визитки,thin,update,high,сайт визитка под ключ,сайт визитка цена;сайт визитка Красногорск,/razrabotka-landing-page/;/podderzhka-sajta/;/kontakty/,Needs FAQ and local angle,Good entry service for local SMB,Use confirmed price and timeline
https://sever.studio/razrabotka-kviz-sajta/,Разработка квиз сайта,service_page,Квиз-сайт,Квиз-сайты,thin,update,medium,квиз сайт под ключ,квиз для лидогенерации;квиз или лендинг,/razrabotka-landing-page/;/yandeks-direkt/;/targetirovannaya-reklama/,Needs examples and CRM TODO,Can support lead generation and ad clusters,Confirm integrations
https://sever.studio/podderzhka-sajta/,Поддержка сайта,service_page,Поддержка сайта,Поддержка и доработка сайтов,thin,update,critical,поддержка сайта,техническая поддержка сайта;поддержка сайта Москва,/homepage/dorabotka-sajta/;TODO URL перенос сайта;TODO URL аудит сайта,Price period unclear;needs SLA;needs FAQ,Recurring service and post-launch support page,Clarify monthly or one-time price
https://sever.studio/homepage/dorabotka-sajta/,Доработка сайта,service_page,Доработка сайта,Поддержка и доработка сайтов,thin,update,critical,доработка сайта,исправить сайт после подрядчика;доработка сайта Москва,/podderzhka-sajta/;TODO URL аудит сайта;TODO URL перенос сайта,URL structure odd;needs problem-aware copy,Strong intent for failed contractor scenarios,Check whether URL should change
