keyword,cluster,intent,priority,difficulty,status,notes
разработка сайта под ключ,Разработка сайтов,commercial,high,TODO,idea,core service
создание сайта под ключ,Разработка сайтов,commercial,high,TODO,idea,core service
заказать сайт под ключ,Разработка сайтов,commercial,high,TODO,idea,core service
сайт под ключ цена,Разработка сайтов,commercial,high,TODO,idea,price intent
разработка сайта для бизнеса,Разработка сайтов,commercial,high,TODO,idea,SMB intent
создание сайта для малого бизнеса,Разработка сайтов,commercial,high,TODO,idea,SMB intent
разработка сайта Москва,Разработка сайтов,local commercial,high,TODO,idea,local modifier
создание сайта Москва,Разработка сайтов,local commercial,high,TODO,idea,local modifier
разработка сайта Московская область,Разработка сайтов,local commercial,high,TODO,idea,local modifier
создание сайта Красногорск,Разработка сайтов,local commercial,high,TODO,idea,local modifier
разработка сайта Красногорск,Разработка сайтов,local commercial,high,TODO,idea,local modifier
создание сайта Мытищи,Разработка сайтов,local commercial,high,TODO,idea,local modifier
разработка сайта Мытищи,Разработка сайтов,local commercial,medium,TODO,idea,local modifier
этапы разработки сайта,Разработка сайтов,informational,medium,TODO,idea,brief support
что входит в разработку сайта,Разработка сайтов,FAQ/GEO,medium,TODO,idea,answer block
бриф на разработку сайта,Разработка сайтов,informational,medium,TODO,idea,lead prep
как выбрать подрядчика для сайта,Разработка сайтов,comparison,medium,TODO,idea,trust intent
landing page под ключ,Landing Page,commercial,high,TODO,idea,service
разработка landing page,Landing Page,commercial,high,TODO,idea,service
создание лендинга,Landing Page,commercial,high,TODO,idea,service
лендинг под ключ,Landing Page,commercial,high,TODO,idea,service
лендинг цена,Landing Page,commercial,high,TODO,idea,price intent
лендинг Москва,Landing Page,local commercial,high,TODO,idea,local
landing page Москва,Landing Page,local commercial,medium,TODO,idea,local
лендинг Красногорск,Landing Page,local commercial,medium,TODO,idea,local
лендинг для Яндекс Директ,Landing Page,problem-aware,medium,TODO,idea,ad link
лендинг для услуги,Landing Page,commercial,medium,TODO,idea,service business
структура лендинга,Landing Page,informational,medium,TODO,idea,cluster
что должно быть на лендинге,Landing Page,FAQ/GEO,medium,TODO,idea,FAQ
лендинг или многостраничный сайт,Landing Page,comparison,medium,TODO,idea,comparison
корпоративный сайт под ключ,Корпоративные сайты,commercial,high,TODO,idea,service
разработка корпоративного сайта,Корпоративные сайты,commercial,high,TODO,idea,service
создание корпоративного сайта,Корпоративные сайты,commercial,high,TODO,idea,service
корпоративный сайт цена,Корпоративные сайты,commercial,high,TODO,idea,price
корпоративный сайт Москва,Корпоративные сайты,local commercial,high,TODO,idea,local
корпоративный сайт Красногорск,Корпоративные сайты,local commercial,medium,TODO,idea,local
структура корпоративного сайта,Корпоративные сайты,informational,medium,TODO,idea,cluster
что должно быть на сайте компании,Корпоративные сайты,FAQ/GEO,medium,TODO,idea,FAQ
корпоративный сайт или многостраничный сайт,Корпоративные сайты,comparison,medium,TODO,idea,comparison
редизайн корпоративного сайта,Корпоративные сайты,problem-aware,medium,TODO,idea,redesign
многостраничный сайт под ключ,Многостраничные сайты,commercial,high,TODO,idea,service
разработка многостраничного сайта,Многостраничные сайты,commercial,high,TODO,idea,service
