company,url,niche,blog_url,notes,status
TODO local web studio Moscow 1,TODO,local web studios in Moscow,TODO,Find via Yandex query разработка сайта Москва,collect
TODO local web studio Moscow 2,TODO,local web studios in Moscow,TODO,Find via Google query создание сайта Москва,collect
TODO local web studio Krasnogorsk 1,TODO,local web studios in Krasnogorsk,TODO,Find via Yandex query создание сайта Красногорск,collect
TODO local web studio Krasnogorsk 2,TODO,local web studios in Krasnogorsk,TODO,Check maps and organic results separately,collect
TODO SEO agency Moscow 1,TODO,SEO agencies in Moscow,TODO,Find via Yandex query SEO продвижение Москва,collect
TODO SEO agency Moscow 2,TODO,SEO agencies in Moscow,TODO,Find via Google query продвижение сайта Москва,collect
TODO landing page agency 1,TODO,landing page agencies,TODO,Find via Яндекс лендинг под ключ Москва,collect
TODO landing page agency 2,TODO,landing page agencies,TODO,Compare page structure and price proof,collect
TODO site support agency 1,TODO,site support agencies,TODO,Find via поддержка сайта Москва,collect
TODO site support agency 2,TODO,site support agencies,TODO,Find via доработка сайта Москва,collect
TODO design branding studio 1,TODO,design/branding studios,TODO,Find via разработка логотипа Москва,collect
TODO design branding studio 2,TODO,design/branding studios,TODO,Find via фирменный стиль под ключ,collect
TODO SMM agency Moscow 1,TODO,SMM agencies,TODO,Find via продвижение ВКонтакте Москва,collect
TODO SMM agency Moscow 2,TODO,SMM agencies,TODO,Find via таргетированная реклама Москва,collect
Clay,TODO,design reference,TODO,Archive only not a direct local SEO competitor,archive
Ramotion,TODO,design reference,TODO,Archive only not a direct local SEO competitor,archive
Arounda,TODO,design reference,TODO,Archive only not a direct local SEO competitor,archive
Eleken,TODO,SaaS design reference,TODO,Archive only not a direct local SEO competitor,archive
Shakuro,TODO,design reference,TODO,Archive only not a direct local SEO competitor,archive
UX Studio,TODO,UX research reference,TODO,Archive only not a direct local SEO competitor,archive
Halo Lab,TODO,design reference,TODO,Archive only not a direct local SEO competitor,archive
